m_dot,Tco_K,Tho_K,Q_W,dp_Pa
0.002,351.67320539093447,298.6040716393613,204.64875217353563,10187.277481546625
0.0021,351.31179870450075,298.96656012991707,214.11595694645342,11085.18507031898
0.0022,350.9647477375514,299.3146360852409,223.54214170395048,12015.725390950784
0.0023,350.6310320552486,299.6493245788982,232.92928257685705,12978.575045855703
0.0024000000000000002,350.3097283531105,299.9715530596351,242.27917911639324,13973.42924906387
0.0025,350.0000000000001,300.2821618696215,251.593476916026,15000.000000000024
0.0026,349.70108757536843,300.58191376064747,260.8736865108367,16058.014503969334
0.0027,349.41230041460466,300.8715023951724,270.1211992944951,17147.21379764686
0.0028,349.1330091118718,301.1515598836829,279.3373010229163,18267.35154622208
0.0029000000000000002,348.8626389006356,301.4226634389538,288.523183347441,19418.19298529025
0.003,348.600663822121,301.6853412377196,297.67995372575683,20599.513985595262
0.0031000000000000003,348.3466015921981,301.9400775799078,306.80864398715016,21811.100222672078
0.0032,348.10000908253016,302.1873174301735,315.9102177736344,23052.74643656138
0.0033,347.8604783394649,302.4274704187465,324.98557703602415,24324.255769270305
0.0034000000000000002,347.62763307243773,302.6609143702405,334.03556773068794,25625.43916966734
0.0035,347.4011255518247,302.8879984208465,343.06098483648015,26956.114857134125
0.0036,347.1806338637776,303.1090457766818,352.0625767904585,28316.107836633102
0.0037,346.9658594764541,303.3243561591408,361.0410494243245,29705.2494589491
0.0038000000000000004,346.7565250781004,303.5342079770097,369.99706946990653,31123.377020769232
0.0039,346.5523726528109,303.7388602597074,378.93126769120255,32570.333400024047
0.004,346.3531617643644,303.93855438141384,387.84424169138003,34045.9667225418
